O00623 P40855
Q7Z465 P55789
P60880 Q16623
P40227 P78371
P13693 P05023
Q9NQT4 Q96B26
Q9NQT8 P78352
Q6ZW49 Q12888
Q9BUF5 Q71U36
Q9NXR8 Q9NPF5
Q7L9L4 Q9NRM7
Q00537 P61981
Q07960 P61586
P51671 P51677
Q9HBM1 Q8NBT2
O00244 P35670
O00716 P06400
Q9HBM6 P49848
P21675 P24385
O95257 P12004
P40425 P55347
P29083 P35269
Q13838 Q13769
Q12834 Q13257
Q00403 P20226
P49789 P10809
P04259 P19012
P05386 P05388
P05387 P62829
P78347 Q06187
Q9NRZ9 Q13547
P10275 Q9UNE7
P10276 Q15788
P20618 P49720
Q96T60 P18887
Q96CA5 P55211
P24864 Q969H0
Q15369 O14508
Q15366 P11940
O60573 O60516
O00401 Q8TF74
Q9UMS4 O43395
Q9UNM6 Q13200
O75436 Q9UBQ0
P43034 Q15102
P08621 O75400
Q9NVP2 Q8TEX9
Q96CS3 P55072
O14908 Q9UM54
Q9BVC3 P0CG13
Q92833 P43694
Q92830 O15265
P17936 P02751
Q92835 P19235
Q9BVC4 P42345
Q9Y6E0 O43815
O43933 Q13608
P43320 P07315
P01236 P16471
Q71DI3 P0CG48
Q8NEM7 Q16539
P52657 P52655
P60520 Q8TD19
O60763 Q08379
Q14566 Q9H211
Q14565 P51587
Q15185 P08238
Q8WVK7 Q96BD8
Q7Z5K2 Q9UQE7
Q9NPF4 Q96S44
Q9NPF5 Q6ZRS2
Q96FF9 Q9NTI5
Q09019 O75317
Q9NRF2 O60674
Q13127 Q9UKL0
O43242 P62333
O43791 Q13618
Q9NRF9 O60264
Q9UPN9 O15164
Q99418 P84077
Q9Y3Y4 O00512
Q9HAP6 O14936
P15531 O00746
O43426 P49418
P16157 Q5VST9
Q7L5Y9 Q9NWU2
P30874 Q9Y566
P04626 P35222
Q96G23 P27449
Q00987 P49407
A5YKK6 Q9ULM6
Q9BWU1 Q9NWA0
O75362 Q92769
P26641 Q13616
Q13232 P15531
Q99460 Q9UNM6
P60709 Q969G3
P10914 Q02556
P41143 Q5JY77
Q9BWG4 Q86U70
Q96BT3 Q5EE01
Q13347 P55884
P12644 Q13873
Q06587 Q9BSM1
Q9NWA0 Q9P086
P23588 Q14152
Q96RU3 P42768
P63146 Q9NS91
P62491 Q9BXF6
P15692 O14786
P61006 Q01968
P16333 O95819
Q96GY3 Q52LA3
P49770 Q14232
P40306 P25787
Q16186 P62195
P0C0S5 Q9Y230
O95630 Q9HD42
O95631 P43146
P01106 Q96L91
Q9NQS7 O15392
P20929 Q8WZ42
P33552 P24941
P48556 P35998
O15066 Q9Y496
P48552 O15379
Q9BUE0 Q9Y3C7
Q01968 P20340
Q7L523 Q9HB90
O43264 Q9H900
P05067 P01137
Q9C0K7 Q15831
Q06609 P00519
Q9Y296 O43617
Q9Y297 P19838
Q9Y294 Q13112
Q9Y295 Q8WU90
Q6UXN9 O15047
Q13823 Q9NY93
Q08999 Q16254
P49795 P04899
Q96JB2 Q9H9E3
P49790 P12270
P49792 P46060
P56545 Q09472
Q00610 Q9UJY4
Q00613 P63165
Q15172 Q5FBB7
Q15375 P52797
Q96T76 P18074
Q15370 Q96G25
O15083 O75334
Q969T4 Q99942
P35251 P40938
P35250 P35249
Q08170 Q8IYB3
Q92730 O43157
P01130 Q15036
P08631 Q8WUM4
P01137 Q14766
P32927 P04141
P20138 Q06124
P00533 O00459
Q9UKM9 P31943
Q9UMN6 P61964
P08700 P32927
Q9Y6D6 Q9Y6D5
Q9BZD4 Q02224
P08708 P62273
O43929 Q9Y5N6
Q13002 Q92796
Q8IYD8 Q9BTP7
Q92608 P15153
Q9UH73 Q2M1K9
Q8TE68 P07766
O75886 P23458
P08195 P05556
P68431 P39687
P17858 P08237
O43255 P63279
O94979 O75340
P42773 P11802
Q8NHZ8 P30260
P30154 O00506
P53350 Q13526
Q13131 Q9Y478
P46783 P62249
P46781 P08708
P61952 P62873
Q9UIS9 Q13111
O95400 P14678
O95402 Q9Y2X0
O43439 Q06455
Q9H222 Q9H221
Q9H4G0 Q14643
P19447 P50613
Q8WUW1 Q9Y2A7
O75376 Q9UQL6
Q16514 Q15542
Q8NFJ9 Q9H0F7
O95067 P33552
Q9H3P2 P18615
P20823 P61457
O14936 Q9Y2J0
Q9BWF2 Q13077
Q86XR7 O00206
Q8WUA4 Q12789
P31946 Q99759
Q8N1F7 P37198
P31949 P04271
P31948 P34932
Q96MF7 Q8IY18
P63151 P30154
P40337 Q99814
Q14919 Q01658
P37088 Q96PU5
P60953 P41743
P22570 P49789
Q12770 Q9Y5U4
Q9Y5B9 P16104
O15530 Q16513
Q9UNE2 P20336
Q7Z589 P83916
Q00978 P52630
P09936 Q92905
Q9H668 Q86WV5
Q9BPX3 Q15021
Q9H0C5 P11387
Q8WZA2 Q9UQ26
Q9HC52 P35226
Q9C086 Q9ULG1
Q13586 Q96D31
P21333 O75369
Q9NZJ0 Q16531
O95931 P35227
P51610 Q13105
P51617 O43318
P08865 P46781
Q96IZ0 O43293
Q06124 P06213
Q8N264 P21333
P15374 Q15843
Q9ULG1 P25490
Q02241 P62330
P78364 O00257
P23025 P07992
Q9UL51 O60741
Q12983 P10415
P38398 O15360
P28482 P01100
O75410 O14965
P37108 P49458
P62829 P62913
P56524 Q96ST3
Q5XPI4 Q9BSL1
P62826 Q9HAV4
P18615 Q8WX92
P01589 P14784
Q9BXW9 P49959
Q9Y4W2 Q8IZL8
Q8TCJ2 P04843
O95983 Q8WXI9
Q9Y6G9 Q14204
O15344 P62837
P43307 P27824
P08514 P05106
P08047 P14859
Q9BZK7 Q13227
Q9Y6I3 Q00610
Q53GL0 Q9HCE7
P46060 P61956
P01100 P05412
P68400 Q99496
P42766 P61254
P22087 P17844
P68371 Q13885
Q9UHD2 Q96CV9
P53618 Q9UBF2
P61964 Q9UPS6
P18124 O00567
Q14126 P14923
P61962 Q13233
P15408 P17275
P61968 P38398
Q8WV28 P11912
Q8WV22 Q96MG7
O94817 Q9NT62
Q14653 Q92793
O43681 Q7L5D6
Q13216 Q9UNS2
O43684 O43670
Q99684 Q9Y6X2
Q99683 Q12933
Q05655 P06241
Q99689 Q05513
Q14019 P09917
O14929 Q16695
Q9GZS3 Q6PD62
Q9GZS1 O15160
Q9ULZ3 Q96P20
Q9Y5Q9 Q8WUA4
Q9Y5Q8 Q9UKN8
Q16478 O43424
O60237 Q14005
P41091 P05198
P40855 P56589
P78560 Q9HB75
P80294 P58062
O95613 Q9NRI5
Q15691 Q99661
P48059 Q15404
P48058 P05129
Q16890 P55327
P12755 P12757
Q3SYG4 Q9BXC9
Q14839 Q86YP4
O60941 P46939
O14745 P09619
Q7L2J0 Q4G0J3
O14746 Q96BK5
P13807 P46976
Q8WTR2 O14733
P50402 O75531
Q9BSQ5 Q9BUL8
Q9UBN7 Q14247
P31150 P62820
P18074 Q13888
P52803 P29320
Q15233 P23246
P48681 Q00535
Q9H2L5 Q13188
O00186 Q12846
P21796 P68363
P14921 Q9UER7
Q07666 P16333
O60832 Q96HR8
O95352 Q9H0R8
Q92994 Q9Y5Q9
O00459 P42336
O95197 Q9NQC3
O14593 O00287
Q9NVA2 Q15019
Q9BV68 Q9Y2X8
P62837 Q9NYG5
Q05586 Q12879
Q969H0 P46531
Q12769 P57740
O95999 Q9H257
P53999 P33240
P53992 Q15436
Q9UKK6 Q9H4D5
P78371 P62714
O15357 P22681
Q9GZN1 P0C0S5
Q8IX07 P15976
Q9BXL7 O95999
Q99836 P58753
P78559 Q9H492
O60716 P19022
P43487 P62826
P78552 P35225
Q9NRW7 Q9H1K0
P32942 P26038
P43005 O75915
P42574 Q13489
P68366 P00533
P68363 P27986
Q9NPI6 Q6P2E9
P54578 O00231
Q9H9H4 Q99816
Q92572 O14617
Q92574 P31946
P42680 Q99704
Q9HAU4 Q9Y3C5
Q9HAU5 Q96Q15
P52756 O43143
Q05397 P29317
Q14247 P61158
Q14242 P16109
Q8N6P7 Q9GZX6
Q13200 Q16186
Q8IVH2 O15409
Q8N163 Q96EB6
Q86YB8 P07237
P62820 Q8TBA6
P54198 Q9Y294
