Q9GZY0	P11182
O75437	Q96MC4
Q13163	P50219
A6NHJ4	Q92636
P09565	Q9Y283
P52435	Q16825
Q9GZS9	Q9UBQ5
P10398	Q14CX5
Q6AW86	P59540
O15255	A6NHN6
P47890	Q14117
P05455	Q9Y6Y8
Q96HA8	Q6NUK1
P21860	Q5HYK7
Q6ZNG2	P29459
O43866	O95848
Q8N6L7	O75155
Q5C9Z4	P54098
Q9NP58	P53611
Q13098	Q15102
Q5HYI8	Q96PV0
P0CB47	P0CG29
O15239	P14210
O95918	Q8NGI4
P41002	Q7L5D6
P17812	Q8IZF4
Q9NWZ5	Q96PS6
Q8N4S9	P41218
P51798	Q9GZP1
Q8NEK8	Q8NEL9
Q96PL1	P10915
Q9UNA1	O00602
Q7L985	Q6XYQ8
Q9C0A6	A6NIN4
O60294	P04234
Q6ZRQ5	Q9UNP9
Q9Y6X1	Q99618
Q9UQB9	P13236
Q9BXW9	Q9Y261
P15172	Q8N144
P01714	O96011
O75832	Q9BXD5
P61106	Q9NWW9
Q495B1	A0M8Q6
P59045	Q9GZU0
Q9Y3I0	Q8N7K0
Q0D2H9	Q6DT37
P17275	Q8TBM8
Q8N8H1	Q9UNT1
Q8IYB8	Q86V35
Q9GZN8	Q14103
Q7LG56	O95718
P43364	Q9H156
Q9NPC2	B3KS81
Q92674	Q9H7T0
Q9Y6W8	Q8NAT1
Q9UGT4	Q68CZ6
Q14587	O75030
Q9C075	Q8NHS4
P58417	Q8NGJ0
Q6WKZ4	P78560
Q17RS7	Q8IY37
O60603	Q9NP64
Q96T37	Q8TAV3
A6NNZ2	P03923
Q9Y6Q9	Q53EL6
P56278	P11511
Q96FV3	Q9HBU6
Q9Y282	Q8NA29
Q99963	P12829
Q9BZM2	Q9UBC7
Q9H9L4	Q9P0V9
Q9UM01	Q86X76
A6NDS4	Q7L190
Q6ZUL3	P20382
P37287	P23327
Q8WYQ9	Q92750
Q1HG43	Q86UQ0
Q9BQL6	P28907
Q8TE68	Q9H3S1
Q7Z3G6	Q7Z7J5
Q14444	Q96JA3
Q16670	F2Z398
Q5VVH5	A6NCI4
Q96RD6	Q9H875
Q9UMF0	Q6ZS10
Q00537	Q86Z14
Q9H1F0	Q5SRD1
Q6IQ55	Q8TBE3
Q5T653	Q92794
Q6ZSK4	Q8TCY5
Q9BZA7	Q9BYP8
Q6JVE6	Q8IWJ2
Q9C0D5	Q9H987
Q8WTZ4	P25391
Q96PP8	Q9UHP9
Q2M238	P37198
Q9H201	P57738
Q9UH77	Q9UM19
Q13542	Q9BYQ4
Q02363	Q8N3U4
Q9NQV7	P63123
P01593	Q8N7X0
O43286	A6NCF5
Q96CU9	Q8N3E9
Q15042	Q13003
Q5MJ08	Q02386
Q8IYS4	O43516
P33897	Q9BXJ4
P19256	Q9Y3F4
Q8WUA8	Q1A5X7
Q9BY65	Q92901
Q53QV2	A6NJS3
Q86SG5	Q495B1
Q9BVN2	Q9UHV8
Q5JY77	A8MXE2
E9PJ23	Q9C0D4
Q15517	Q96M34
P16401	Q66PJ3
A1A4G5	P51508
Q6ZSG2	Q5T871
Q8N9E0	Q9Y397
Q12887	Q6PUV4
P05154	P10242
Q96EH3	Q8NI22
Q2TAA5	Q12834
Q6IN85	Q5DT21
Q9BQ95	Q07960
P12931	Q6ZUS5
O15075	Q9Y6X6
O95302	Q8IZU0
Q9H2Y9	O14788
O00501	Q06945
O95992	Q9BZV1
Q5VV63	Q7Z4G1
P54727	P34130
Q86YS7	Q8NFU1
P15121	P43351
Q9NZI5	Q5SXM1
Q9Y281	Q7Z7C7
O43813	Q99439
Q9Y614	Q5T752
P20151	Q9H5J8
Q5HYI7	Q9UK32
I6L899	Q96ER3
Q5T7W0	Q8NEP7
Q9BWT3	Q9H7F4
Q9Y2B2	P59768
Q9ULF5	Q9NS26
P18825	O43299
P0CG30	Q9H8K7
P02452	Q15415
Q5VXH5	Q9Y3U8
Q9UEF7	Q9BTA9
Q14674	Q9P0W2
P59780	Q86TJ5
Q8IZL9	Q8WTZ4
Q17RW2	A6NEH6
Q86YB7	Q8NEM2
A5LHX3	P41225
P05062	Q9H8G2
O75164	Q8WW38
Q13155	Q9BZL6
P56377	Q6NUJ2
Q04741	Q6B0K9
O43680	P51668
P63252	Q96F46
O43687	Q96HY6
Q9NRZ9	Q86UB9
Q9Y5A9	Q8NEG2
Q969G2	Q9NUB1
Q8NG76	Q92499
A6NIK2	P05026
Q96ST2	Q9H2F5
Q9H606	Q9Y234
Q4KMG9	Q8NC42
Q9BXK5	P30464
P55316	Q9H5K3
A5YM69	O43909
P29474	Q8IZW8
O43763	A8MV23
P21579	Q14588
Q6ZS11	Q8IXQ4
P63098	Q96PP9
Q7Z3Q1	O43482
Q9H2V7	P04844
Q9Y6A2	Q14162
P58417	P78357
Q96HD9	P30837
A6NM03	P16050
